TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	12/07/03
TIME	14:32:58
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	1500.0000
LASTX	300.0000
NPOINTS	601
FIRSTY	0.92507
MAXY	0.92960
MINY	0.07205
XYDATA
1500.0000	92.5074
1498.0000	92.6885
1496.0000	92.486
1494.0000	92.4936
1492.0000	92.5002
1490.0000	92.6918
1488.0000	92.5448
1486.0000	92.5253
1484.0000	92.6828
1482.0000	92.5081
1480.0000	92.5038
1478.0000	92.4866
1476.0000	92.5776
1474.0000	92.4309
1472.0000	92.4741
1470.0000	92.7855
1468.0000	92.5365
1466.0000	92.5768
1464.0000	92.4518
1462.0000	92.6946
1460.0000	92.5578
1458.0000	92.5082
1456.0000	92.5037
1454.0000	92.5763
1452.0000	92.42
1450.0000	92.4326
1448.0000	92.6017
1446.0000	92.348
1444.0000	92.461
1442.0000	92.5808
1440.0000	92.6279
1438.0000	92.4112
1436.0000	92.6018
1434.0000	92.5755
1432.0000	92.3414
1430.0000	92.5465
1428.0000	92.5058
1426.0000	92.4082
1424.0000	92.4479
1422.0000	92.5151
1420.0000	92.6317
1418.0000	92.5138
1416.0000	92.6025
1414.0000	92.5941
1412.0000	92.5237
1410.0000	92.4373
1408.0000	92.5346
1406.0000	92.6159
1404.0000	92.3198
1402.0000	92.512
1400.0000	92.5197
1398.0000	92.5022
1396.0000	92.4012
1394.0000	92.5364
1392.0000	92.4951
1390.0000	92.3727
1388.0000	92.3849
1386.0000	92.518
1384.0000	92.4349
1382.0000	92.3502
1380.0000	92.3466
1378.0000	92.535
1376.0000	92.332
1374.0000	92.4645
1372.0000	92.4354
1370.0000	92.4763
1368.0000	92.3365
1366.0000	92.5124
1364.0000	92.6291
1362.0000	92.4827
1360.0000	92.5035
1358.0000	92.443
1356.0000	92.392
1354.0000	92.2996
1352.0000	92.5004
1350.0000	92.5254
1348.0000	92.295
1346.0000	92.3625
1344.0000	92.5617
1342.0000	92.4857
1340.0000	92.2321
1338.0000	92.5574
1336.0000	92.5479
1334.0000	92.3644
1332.0000	92.5034
1330.0000	92.5534
1328.0000	92.3865
1326.0000	92.2855
1324.0000	92.5223
1322.0000	92.5172
1320.0000	92.4258
1318.0000	92.4045
1316.0000	92.4714
1314.0000	92.3763
1312.0000	92.2449
1310.0000	92.4828
1308.0000	92.4597
1306.0000	92.3364
1304.0000	92.4421
1302.0000	92.524
1300.0000	92.435
1298.0000	92.3316
1296.0000	92.4185
1294.0000	92.3787
1292.0000	92.3525
1290.0000	92.4582
1288.0000	92.3446
1286.0000	92.3266
1284.0000	92.3662
1282.0000	92.4321
1280.0000	92.3662
1278.0000	92.3808
1276.0000	92.4275
1274.0000	92.4388
1272.0000	92.386
1270.0000	92.3408
1268.0000	92.5228
1266.0000	92.3546
1264.0000	92.3521
1262.0000	92.3794
1260.0000	92.378
1258.0000	92.3634
1256.0000	92.3882
1254.0000	92.473
1252.0000	92.3349
1250.0000	92.3671
1248.0000	92.3879
1246.0000	92.4135
1244.0000	92.3796
1242.0000	92.3935
1240.0000	92.4559
1238.0000	92.4146
1236.0000	92.3379
1234.0000	92.4595
1232.0000	92.3669
1230.0000	92.3515
1228.0000	92.2903
1226.0000	92.5177
1224.0000	92.2678
1222.0000	92.31
1220.0000	92.4119
1218.0000	92.4137
1216.0000	92.3246
1214.0000	92.2518
1212.0000	92.4744
1210.0000	92.3396
1208.0000	92.3754
1206.0000	92.3058
1204.0000	92.2807
1202.0000	92.3388
1200.0000	92.3469
1198.0000	92.3191
1196.0000	92.2904
1194.0000	92.3843
1192.0000	92.3519
1190.0000	92.3141
1188.0000	92.3796
1186.0000	92.2615
1184.0000	92.1689
1182.0000	92.314
1180.0000	92.3838
1178.0000	92.2397
1176.0000	92.3398
1174.0000	92.2598
1172.0000	92.2526
1170.0000	92.236
1168.0000	92.3184
1166.0000	92.3235
1164.0000	92.3082
1162.0000	92.2642
1160.0000	92.2952
1158.0000	92.3515
